	Y	N
M11102501	0	1
M11102502	0	1
M11102503	0	1
M11102602	0	1
M11102701	0	1
M11102702	0	1
M11102801	0	1
M11102802	0	1
M11102803	0	1
M11102807	0	1
M11103101	0	1
M11103102	0	1
M11103103	0	1
M11110103	0	1
M11110104	0	1
M11110105	0	1
M11110202	0	1
M11110204	0	1
M11110205	0	1
M11110206	0	1
M11110207	0	1
M11110401	0	1
M11110402	0	1
M11110403	0	1
M11110404	0	1
M11110405	0	1
M11110701	0	1
M11110704	0	1
M11110803	0	1
M11110804	0	1
M11110805	0	1
M11110806	0	1
M11110901	0	1
M11111001	0	1
M11111002	0	1
M11111003	0	1
M11111004	0	1
M11111101	0	1
M11111103	0	1
M11111402	0	1
M11111403	0	1
M11111404	0	1
M11111405	0	1
M11111501	0	1
M11111701	0	1
M11111702	0	1
M11111703	0	1
M11111705	0	1
M11111801	0	1
M11111802	0	1
M11111803	0	1
M11111804	0	1
M11111805	0	1
M11112101	0	1
M11112102	0	1
M11112203	0	1
M11112204	0	1
M11112401	0	1
M11112501	0	1
M11112502	0	1
M11112503	0	1
M11112504	0	1
M11112801	0	1
M11112802	0	1
M11112804	0	1
M11112901	0	1
M11112903	0	1
M11112904	0	1
M11113002	0	1
M11113003	0	1
M11120102	0	1
M11120103	0	1
M11120104	0	1
M11120201	0	1
M11120202	0	1
M11120203	0	1
M11120501	0	1
M11120502	0	1
M11120503	0	1
M11120601	0	1
M11120602	0	1
M11120603	0	1
M11120604	0	1
M11120702	0	1
M11120703	0	1
M11120803	0	1
M11120901	0	1
M11120902	0	1
M11120904	0	1
M11121201	0	1
M11121202	0	1
M11121203	0	1
M11121302	0	1
M11121303	0	1
M11121304	0	1
M11121305	0	1
M11121402	0	1
M11121403	0	1
M11121503	0	1
M11121504	0	1
M11121601	0	1
M11121602	0	1
M11121603	0	1
M11121604	0	1
M11121605	0	1
M11121901	0	1
M11121904	0	1
M11121905	0	1
M11121906	0	1
M11122001	0	1
M11122002	0	1
M11122003	0	1
M11122004	0	1
M11122005	0	1
M11122103	0	1
M11122201	0	1
M11122202	0	1
M11122601	0	1
M11122602	0	1
M11122701	0	1
M11122702	0	1
M11122703	0	1
M11122704	0	1
M11122802	0	1
M12010402	0	1
M12010403	0	1
M12010404	0	1
M12010405	0	1
M12010501	0	1
M12010602	0	1
M12010603	0	1
M12011001	0	1
M12011002	0	1
M12011003	0	1
M12011004	0	1
M12011101	0	1
M12011102	0	1
M12011201	0	1
M12011202	0	1
M12011203	0	1
M12011302	0	1
M12011305	0	1
M12011601	0	1
M12011602	0	1
M12011603	0	1
M12011604	0	1
M12011605	0	1
M12011606	0	1
M12011607	0	1
M12011701	0	1
M12011702	0	1
M12011703	0	1
M12011704	0	1
M12011705	0	1
M12011706	0	1
M12011707	0	1
M12011801	0	1
M12011802	0	1
M12011803	0	1
M12011804	0	1
M12011805	0	1
M12011901	0	1
M12011902	0	1
M12011903	0	1
M12011904	0	1
M12012001	0	1
M12012002	0	1
M12012003	0	1
M12012005	0	1
M12012006	0	1
M12012302	0	1
M12012303	0	1
M12012306	0	1
M12012401	0	1
M12012403	0	1
M12012404	0	1
M12012501	0	1
M12012503	0	1
M12012505	0	1
M12012601	0	1
M12012602	0	1
M12012605	0	1
M12012702	0	1
M12013002	0	1
M12013003	0	1
M12013004	0	1
M12013005	0	1
M12013101	0	1
M12013102	0	1
M12013104	0	1
M12020101	0	1
M12020102	0	1
M12020103	0	1
NB12020202	0	1
NB12020203	0	1
NB12020301	0	1
NB12020601	0	1
NB12020602	0	1
NB12020603	0	1
NB12020604	0	1
NB12020605	0	1
NB12020701	0	1
NB12020702	0	1
NB12020704	0	1
NB12020705	0	1
NB12020801	0	1
NB12020802	0	1
NB12020804	0	1
NB12020805	0	1
NB12020901	0	1
NB12020902	0	1
NB12020903	0	1
NB12021001	0	1
NB12021002	0	1
NB12021003	0	1
NB12021004	0	1
NB12021005	0	1
NB12021006	0	1
NB12021301	0	1
NB12021302	0	1
NB12021303	0	1
NB12021304	0	1
NB12021401	0	1
NB12021402	0	1
NB12021501	0	1
NB12021502	0	1
NB12021503	0	1
NB12021504	0	1
NB12021505	0	1
NB12021506	0	1
NB12021602	0	1
NB12021605	0	1
NB12021703	0	1
NB12021704	0	1
NB12021705	0	1
NB12022001	0	1
NB12022003	0	1
NB12022004	0	1
NB12022005	0	1
NB12022006	0	1
NB12022101	0	1
NB12022102	0	1
NB12022103	0	1
NB12022104	0	1
NB12022105	0	1
NB12022202	0	1
NB12022204	0	1
NB12022205	0	1
NB12022401	0	1
NB12022404	0	1
NB12022701	0	1
NB12022703	0	1
NB12022704	0	1
NB12022801	0	1
NB12022802	0	1
NB12022803	0	1
NB12022804	0	1
NB12022806	0	1
NB12022901	0	1
NB12022903	0	1
NB12022904	0	1
NB12022905	0	1
NB12030101	0	1
NB12030102	0	1
NB12030103	0	1
NB12030201	0	1
NB12030202	0	1
NB12030203	0	1
NB12030204	0	1
NB12030502	0	1
NB12030503	0	1
NB12030504	0	1
NB12030601	0	1
NB12030602	0	1
NB12030603	0	1
NB12030604	0	1
NB12030605	0	1
NB12030606	0	1
NB12030701	0	1
NB12030702	0	1
NB12030703	0	1
NB12030704	0	1
NB12030705	0	1
NB12030802	0	1
NB12030803	0	1
NB12030804	0	1
NB12030805	0	1
NB12030902	0	1
NB12030903	0	1
NB12030904	0	1
NB12031201	0	1
NB12031202	0	1
NB12031203	0	1
NB12031204	0	1
NB12031301	0	1
NB12031302	0	1
NB12031304	0	1
NB12031401	0	1
NB12031402	0	1
NB12031403	0	1
NB12031501	0	1
NB12031502	0	1
NB12031601	0	1
NB12031602	0	1
NB12031604	0	1
NB12031605	0	1
NB12031606	0	1
NB12031902	0	1
NB12031903	0	1
NB12032101	0	1
NB12032201	0	1
NB12032202	0	1
NB12032301	0	1
NB12032302	0	1
NB12032303	0	1
NB12032601	0	1
NB12032702	0	1
NB12032704	0	1
NB12032802	0	1
NB12032902	0	1
NB12032903	0	1
NB12032904	0	1
NB12033001	0	1
NB12033002	0	1
NB12040201	0	1
NB12040202	0	1
NB12040203	0	1
NB12040204	0	1
NB12040301	0	1
NB12040302	0	1
NB12040303	0	1
NB12040304	0	1
NB12040305	0	1
NB12040402	0	1
NB12040403	0	1
NB12040404	0	1
NB12040501	0	1
NB12040502	0	1
NB12040503	0	1
NB12040601	0	1
NB12040602	0	1
NB12040603	0	1
NB12040901	0	1
NB12040902	0	1
NB12040903	0	1
NB12041001	0	1
NB12041002	0	1
NB12041102	0	1
NB12041103	0	1
NB12041201	0	1
NB12041202	0	1
NB12041203	0	1
NB12041801	0	1
NB12041802	0	1
NB12041901	0	1
NB12041902	0	1
NB12042001	0	1
NB12042002	0	1
NB12042003	0	1
NB12042004	0	1
NB12042005	0	1
NB12042304	0	1
NB12042305	0	1
NB12042306	0	1
NB12042401	0	1
NB12042402	0	1
NB12042403	0	1
NB12042404	0	1
NB12042601	0	1
NB12042602	0	1
NB12042603	0	1
NB12042604	0	1
NB12042605	0	1
NB12042701	0	1
NB12050101	0	1
NB12050102	0	1
NB12050201	0	1
NB12050202	0	1
NB12050203	0	1
NB12050204	0	1
NB12050205	0	1
NB12050701	0	1
NB12050702	0	1
NB12050703	0	1
NB12050704	0	1
NB12050801	0	1
NB12050802	0	1
NB12050804	0	1
NB12050901	0	1
NB12050902	0	1
NB12051001	0	1
NB12051002	0	1
NB12051101	0	1
NB12051104	0	1
NB12051105	0	1
NB12051401	0	1
NB12051402	0	1
NB12051403	0	1
NB12051404	0	1
NB12051405	0	1
NB12051406	0	1
NB12051501	0	1
NB12051502	0	1
NB12051503	0	1
NB12051504	0	1
NB12051505	0	1
NB12051602	0	1
NB12051603	0	1
NB12051604	0	1
NB12051701	0	1
NB12051702	0	1
NB12051703	0	1
NB12051704	0	1
NB12051801	0	1
NB12051802	0	1
NB12051803	0	1
NB12052101	0	1
NB12052102	0	1
NB12052103	0	1
NB12052104	0	1
NB12052201	0	1
NB12052301	0	1
NB12052401	0	1
NB12052403	0	1
NB12052501	0	1
